experiment_id,case_id,category,difficulty,harness,adapter,model,requested_model_id,reported_model_id,skill_condition,repeat,synthetic,eligible_for_scoring,funnel,migration_success,tokens_in,cached_input_tokens,tokens_out,reasoning_output_tokens,tokens_total,cost_usd,cost_source,migration_wall_clock_s,e2e_elapsed_s,iterations,token_budget,token_budget_exceeded,session_id,result_path
trae-deepseek-v4pro-pilot-v1,attention,multi-kernel-pipelines,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,353263,,17191,,370454,,unavailable,592.1385290999897,603.1530197001994,26,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/attention/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,attention,multi-kernel-pipelines,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,391106,,11408,,402514,,unavailable,533.4789732999634,544.7741666999646,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/attention/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,bfs,graph-irregular,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,315914,,10554,,326468,,unavailable,572.0831742999144,582.8609148000833,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/bfs/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,bfs,graph-irregular,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,356420,,23049,,379469,,unavailable,688.7798060998321,700.436297400156,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/bfs/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,conv1dShared,stencil-convolution,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,346014,,14448,,360462,,unavailable,470.3263787999749,481.8530919998884,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/conv1dShared/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,conv1dShared,stencil-convolution,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,390379,,15371,,405750,,unavailable,555.5631005000323,566.4300478999503,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/conv1dShared/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,histogram,streams-atomics-templates,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,284232,,14917,,299149,,unavailable,435.96809020009823,447.14404040016234,25,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/histogram/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,histogram,streams-atomics-templates,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,391486,,26144,,417630,,unavailable,724.9321202998981,736.2054713000543,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/histogram/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,nbodyTiled,molecular-dynamics,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,352444,,19410,,371854,,unavailable,583.5133815000299,595.7454689999577,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/nbodyTiled/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,nbodyTiled,molecular-dynamics,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,614331,,10601,,624932,,unavailable,529.5538166998886,543.1934211999178,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/nbodyTiled/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,reduceSum,reductions-scans,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,245781,,6308,,252089,,unavailable,360.6033987000119,371.451242600102,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/reduceSum/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,reduceSum,reductions-scans,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,385919,,10076,,395995,,unavailable,1018.4641608998645,1030.4081822000444,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/reduceSum/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,thrustSort,cuda-library-usage,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,274130,,6835,,280965,,unavailable,428.5039379000664,444.8417954000179,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/thrustSort/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,thrustSort,cuda-library-usage,hard,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,299160,,13588,,312748,,unavailable,822.2237658000086,837.6381905998569,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/thrustSort/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,tiledMatmul,linear-algebra,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,273838,,12338,,286176,,unavailable,10145.76705299993,10158.729368800065,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/tiledMatmul/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,tiledMatmul,linear-algebra,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,397361,,13497,,410858,,unavailable,501.68280169996433,513.029840100091,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/tiledMatmul/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,transposeShared,memory-movement,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,207289,,15729,,223018,,unavailable,657.5079789999872,668.8833377999254,20,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/transposeShared/trae__deepseek-v4pro__oob__r0/migration.json
trae-deepseek-v4pro-pilot-v1,transposeShared,memory-movement,medium,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,with-sycl-skill,0,False,True,pass,True,456164,,25166,,481330,,unavailable,413.42606620001607,424.1204429999925,30,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/transposeShared/trae__deepseek-v4pro__with-sycl-skill__r0/migration.json
trae-deepseek-v4pro-pilot-v1,vectorAdd,simple-kernels,easy,trae,external_command,deepseek-v4pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,oob,0,False,True,pass,True,235724,,8203,,243927,,unavailable,281.81613079993986,293.0239957999438,24,150000,True,,artifacts/stage2/trae-deepseek-v4pro-pilot-v1/vectorAdd/trae__deepseek-v4pro__oob__r0/migration.json
